Produtor - Inserido item 0; Buffer: 1/7
Produtor - Inserido item 1; Buffer: 2/7
Consumidor - Consumido item 0; Buffer: 1/7
Consumidor - Consumido item 1; Buffer: 0/7
Produtor - Inserido item 2; Buffer: 1/7
Produtor - Inserido item 3; Buffer: 2/7
Produtor - Inserido item 4; Buffer: 3/7
Produtor - Inserido item 5; Buffer: 4/7
Produtor - Inserido item 6; Buffer: 5/7
Produtor - Inserido item 7; Buffer: 6/7
Produtor - Inserido item 8; Buffer: 7/7
Consumidor - Consumido item 2; Buffer: 6/7
Consumidor - Consumido item 3; Buffer: 5/7
Consumidor - Consumido item 4; Buffer: 4/7
Consumidor - Consumido item 5; Buffer: 3/7
Consumidor - Consumido item 6; Buffer: 2/7
Consumidor - Consumido item 7; Buffer: 1/7
Consumidor - Consumido item 8; Buffer: 0/7
Produtor - Inserido item 9; Buffer: 1/7
Consumidor - Consumido item 9; Buffer: 0/7
Produtor - Inserido item 10; Buffer: 1/7
Produtor - Inserido item 11; Buffer: 2/7
Produtor - Inserido item 12; Buffer: 3/7
Produtor - Inserido item 13; Buffer: 4/7
Produtor - Inserido item 14; Buffer: 5/7
Consumidor - Consumido item 10; Buffer: 4/7
Consumidor - Consumido item 11; Buffer: 3/7
